gene_name,alteration_frequency
NDUFA3P3,79.62515114873035
SWT1,79.62515114873035
TRMT1L,79.62515114873035
SDE2,79.62515114873035
AL512343.2,79.62515114873035
H3-3A,79.62515114873035
LINC01703,79.62515114873035
PDC,79.62515114873035
AC093426.1,79.62515114873035
AL590396.1,79.62515114873035
RPS3AP8,79.62515114873035
PACERR,79.62515114873035
RPL5P5,79.62515114873035
CAPN9,79.62515114873035
YWHAQP9,79.62515114873035
TMEM63A,79.62515114873035
PDC-AS1,79.62515114873035
ODR4,79.62515114873035
AL133553.1,79.62515114873035
PTGS2,79.62515114873035
GS1-279B7.1,79.62515114873035
AL354953.1,79.62515114873035
IVNS1ABP,79.62515114873035
C1orf198,79.62515114873035
AL356273.3,79.62515114873035
AL356273.2,79.62515114873035
CDC42BPA,79.62515114873035
RNF2,79.59492140266022
FTH1P25,79.59492140266022
XRCC6P3,79.59492140266022
EPHX1,79.59492140266022
AL078644.1,79.59492140266022
AL096803.3,79.59492140266022
AL353689.3,79.59492140266022
AL118511.2,79.59492140266022
RNA5SP79,79.59492140266022
HLX,79.59492140266022
DISP1,79.59492140266022
AL451081.2,79.59492140266022
AC096644.2,79.56469165659009
SLC30A10,79.56469165659009
RNA5SP76,79.56469165659009
AL451081.1,79.56469165659009
AURKAP1,79.56469165659009
AC096644.3,79.56469165659009
AL365366.1,79.56469165659009
AC096644.1,79.56469165659009
BROX,79.56469165659009
FAM177B,79.56469165659009
AL627308.2,79.56469165659009
AL627308.1,79.56469165659009
AL445675.1,79.56469165659009
PRELID3BP1,79.56469165659009
AL451047.1,79.56469165659009
AL627308.3,79.56469165659009
RPL35P1,79.56469165659009
ITPKB-AS1,79.56469165659009
AC099066.3,79.56469165659009
AL591895.1,79.56469165659009
EXO1,79.56469165659009
APOBEC4,79.56469165659009
AL392172.1,79.56469165659009
ITPKB,79.56469165659009
MRPS18BP1,79.53446191051995
KCTD3,79.53446191051995
HDAC1P2,79.53446191051995
USH2A-AS2,79.53446191051995
USH2A,79.53446191051995
AL390718.1,79.53446191051995
USH2A-AS1,79.53446191051995
LAMC2,79.53446191051995
MARK1,79.53446191051995
AL353689.2,79.53446191051995
AL353689.1,79.53446191051995
AL359742.1,79.53446191051995
YBX1P9,79.53446191051995
LIN9,79.53446191051995
AL592045.1,79.53446191051995
STUM,79.53446191051995
ITPKB-IT1,79.53446191051995
ACBD3-AS1,79.53446191051995
ACBD3,79.53446191051995
AL512343.1,79.53446191051995
AL449223.1,79.53446191051995
RPS27P5,79.53446191051995
RPL23AP20,79.53446191051995
PSEN2,79.53446191051995
AL391628.1,79.53446191051995
NMNAT2,79.53446191051995
COQ8A,79.53446191051995
RN7SL464P,79.53446191051995
ACBD6,79.50423216444982
VDAC1P10,79.50423216444982
RNU6-41P,79.50423216444982
CEP350,79.50423216444982
AL157899.1,79.50423216444982
LAMC1,79.50423216444982
LAMC1-AS1,79.50423216444982
QSOX1,79.50423216444982
EPRS1,79.50423216444982
MIXL1,79.50423216444982
RN7SKP156,79.50423216444982
BTF3P9,79.50423216444982
LINC01641,79.50423216444982
MT1HL1,79.50423216444982
ESRRG,79.50423216444982
AL606462.1,79.50423216444982
ARPC5,79.47400241837968
